case_id,case_name,priority,step_order,step_description,expected_result
TC-001,สร้าง PO จาก CP สำเร็จ,High,1,เปิดหน้า ใบสั่งซื้อ (PO) แล้วคลิก สร้าง PO,Drawer wizard เปิดที่ Step 1 เลือกแหล่งที่มา
TC-001,สร้าง PO จาก CP สำเร็จ,High,2,ค้นหาและเลือก Comparison CP-2604-00013,แสดงตารางผู้ชนะการเสนอราคา (Awarded Vendors)
TC-001,สร้าง PO จาก CP สำเร็จ,High,3,คลิก เลือก ที่ผู้ชนะ VND-2026-1123 แล้วกด ถัดไป,ไป Step 2 ช่องผู้ขายล็อก (lock icon) = VND-2026-1123 + payment term = 2-10N30
TC-001,สร้าง PO จาก CP สำเร็จ,High,4,กรอกวันที่/ผู้จัดซื้อ ครบ กด ถัดไป จนถึง Step 5,แสดงสรุปรายการ + ยอดรวม ถูกต้อง
TC-001,สร้าง PO จาก CP สำเร็จ,High,5,คลิก สร้าง PO,บันทึกสำเร็จ status เอกสาร = draft แสดงใน List
TC-002,ผู้ชนะที่ออก PO แล้วเลือกซ้ำไม่ได้,Medium,1,เปิด wizard เลือก CP ที่มีผู้ชนะออก PO ไปแล้ว (po_status=CREATED),แถวผู้ชนะนั้นแสดงสถานะ ทำแล้ว + เลข PO เดิม
TC-002,ผู้ชนะที่ออก PO แล้วเลือกซ้ำไม่ได้,Medium,2,สังเกตปุ่มเลือกที่แถวนั้น,ปุ่ม เลือก ถูก disable (แสดง — แทน)
TC-003,สร้าง PO จาก PR เลือกผู้ขายที่ Step 2,High,1,เปิด wizard เลือกเฉพาะ PR-2604-00010,ไม่แสดงตารางผู้ชนะ + แสดงโน้ต เลือกผู้ขายในขั้นตอนถัดไป
TC-003,สร้าง PO จาก PR เลือกผู้ขายที่ Step 2,High,2,กด ถัดไป ไป Step 2,ช่องผู้ขายเป็น combobox ค้นหาได้ (ไม่ล็อก)
TC-003,สร้าง PO จาก PR เลือกผู้ขายที่ Step 2,High,3,ค้นหาและเลือก VND-2026-0007,ผู้ขายถูกเลือก + payment term = NET30 + รายการดึงจาก PR
TC-003,สร้าง PO จาก PR เลือกผู้ขายที่ Step 2,High,4,ดำเนินการจนถึง Step 5 แล้วกด สร้าง PO,บันทึกสำเร็จ
TC-004,สร้าง PO อิสระ (ไม่เลือกแหล่งที่มา),High,1,เปิด wizard ที่ Step 1 ไม่เลือกแหล่งที่มา กด ถัดไป,ไป Step 2 ได้ โดยไม่มี pop-up ขวาง
TC-004,สร้าง PO อิสระ (ไม่เลือกแหล่งที่มา),High,2,ที่ Step 2 ค้นหาเลือกผู้ขาย VND-2025-0010,ผู้ขายถูกเลือกผ่าน combobox
TC-004,สร้าง PO อิสระ (ไม่เลือกแหล่งที่มา),High,3,กด ถัดไป ไป Step 3,มีแถวรายการเปล่าให้กรอกเอง 1 แถว
TC-004,สร้าง PO อิสระ (ไม่เลือกแหล่งที่มา),High,4,กรอกสินค้า/จำนวน/ราคา แล้วไป Step 5 กด สร้าง PO,บันทึกสำเร็จ
TC-005,คำนวณ VAT 7% เพิ่มนอก,High,1,"สร้าง PO กรอก 3 รายการ subtotal รวม 15,850 ตั้ง ภาษี = VAT 7% ทุกรายการ","แถบสรุป: รวมเป็นเงิน 15,850.00"
TC-005,คำนวณ VAT 7% เพิ่มนอก,High,2,ดูยอดภาษีและยอดรวมทั้งสิ้น,"ภาษีมูลค่าเพิ่ม 7% = 1,109.50 และ รวมทั้งสิ้น = 16,959.50"
TC-006,คำนวณกรณีไม่มี VAT,Medium,1,"สร้าง PO กรอกรายการรวม 12,000 ตั้ง ภาษี = ไม่คิด ทุกรายการ","รวมเป็นเงิน 12,000.00"
TC-006,คำนวณกรณีไม่มี VAT,Medium,2,ดูยอดรวมทั้งสิ้น,"ภาษี = ยกเว้น และ รวมทั้งสิ้น = 12,000.00"
TC-007,คำนวณส่วนลด 5% + VAT,High,1,"สร้าง PO รายการรวม 71,000 ตั้งภาษี VAT 7% เปิดส่วนลดท้ายบิล = 5%","ยอดหลังหักส่วนลด = 67,450.00"
TC-007,คำนวณส่วนลด 5% + VAT,High,2,ดูยอดภาษีและรวมทั้งสิ้น,"VAT 7% = 4,721.50 และ รวมทั้งสิ้น = 72,171.50"
TC-008,คำนวณ VAT + หัก ณ ที่จ่าย 3%,High,1,"สร้าง PO บริการรวม 70,000 ตั้งภาษี VAT 7% เปิดหัก ณ ที่จ่าย = 3%","VAT = 4,900.00 รวมทั้งสิ้น(รวม VAT) = 74,900.00"
TC-008,คำนวณ VAT + หัก ณ ที่จ่าย 3%,High,2,ดูยอดชำระสุทธิ,"หัก ณ ที่จ่าย = 2,100.00 และ ยอดชำระสุทธิ = 72,800.00"
TC-009,ส่วนลดบาทเกินยอดรายการถูก cap,Medium,1,เพิ่มรายการ qty=2 ราคา=100 (subtotal 200) สลับส่วนลดเป็น ฿ กรอก 999,ระบบ cap ส่วนลดที่ 200 (ไม่เกิน subtotal)
TC-009,ส่วนลดบาทเกินยอดรายการถูก cap,Medium,2,ดูจำนวนเงินรายการ,จำนวนเงินสุทธิรายการ = 0.00 (ไม่ติดลบ)
TC-010,VAT included ถอน VAT ย้อน,Medium,1,ตั้งรายการ ภาษี = รวมใน (included) ราคา/หน่วยรวม VAT แล้ว,จำนวนเงินรายการคงเดิม (ไม่บวกเพิ่ม)
TC-010,VAT included ถอน VAT ย้อน,Medium,2,ตรวจยอด VAT ที่สรุป,VAT ถูกถอนย้อน = net × 7/107
TC-011,ส่งขออนุมัติ resolve DoA tier,High,1,เปิด PO draft กด ส่งขออนุมัติ,สถานะเอกสารเปลี่ยนเป็น รออนุมัติ (pending)
TC-011,ส่งขออนุมัติ resolve DoA tier,High,2,ตรวจผู้อนุมัติที่ระบบกำหนด,ระบบ resolve tier ตามยอด (≤100K → ผู้จัดการฝ่ายจัดซื้อ)
TC-012,ผู้จัดทำอนุมัติเองถูก block,High,1,Login เป็นผู้จัดทำ (Buyer) ที่สร้าง PO เอง เปิด PO ที่ pending,ไม่แสดงปุ่มอนุมัติ หรือกดแล้วถูกปฏิเสธ
TC-012,ผู้จัดทำอนุมัติเองถูก block,High,2,ลองอนุมัติ,ระบบแสดงข้อความ ผู้จัดทำอนุมัติเองไม่ได้ (SoD)
TC-013,ตีกลับเพื่อแก้ไขเพิ่ม revision,High,1,Login ผู้อนุมัติ เปิด PO ที่ pending คลิก ตีกลับเพื่อแก้ไข,ระบบบังคับให้ระบุเหตุผล
TC-013,ตีกลับเพื่อแก้ไขเพิ่ม revision,High,2,ระบุเหตุผลแล้วยืนยัน,สถานะกลับเป็น draft + revision_no เพิ่ม 1
TC-014,ยอดเกินอำนาจอนุมัติถูก block,High,1,"สร้าง PO ยอดรวม 2,000,000 (เกิน tier สูงสุด) กด ส่งขออนุมัติ",ระบบ block + แสดง เกินอำนาจอนุมัติทุก tier
TC-015,ปฏิเสธโดยไม่ใส่เหตุผลถูก block,Medium,1,Login ผู้อนุมัติ เปิด PO pending คลิก ปฏิเสธ โดยเว้นช่องเหตุผล,ระบบ block + แสดง กรุณาระบุเหตุผล
