case_id,case_name,priority,step_order,step_description,expected_result
TC-001,สร้างใบขอซื้อสำเร็จครบ field,High,1,คลิกปุ่ม 'สร้างคำร้องขอซื้อใหม่',เปิด drawer ฟอร์มสร้าง PR + วันที่ต้องการ default = วันนี้+7
TC-001,สร้างใบขอซื้อสำเร็จครบ field,High,2,"เลือกแผนก ผู้ขอ และสาขาปลายทาง (ข้อมูล: DATA-001: dept, requester, branch=00000)",ค่าแสดงในฟอร์มครบ
TC-001,สร้างใบขอซื้อสำเร็จครบ field,High,3,เลือกใบปลดอายัดงบ (ข้อมูล: DATA-001: release_ref=BRT-20260502-0051),แสดงงบคงเหลือของใบปลดอายัด
TC-001,สร้างใบขอซื้อสำเร็จครบ field,High,4,"เพิ่มสินค้า 1 รายการ (ข้อมูล: DATA-001: item=PPR-A4, qty=20)",autofill ราคา/หน่วย/VAT group + line_amount คำนวณ
TC-001,สร้างใบขอซื้อสำเร็จครบ field,High,5,คลิก 'บันทึกร่าง',Toast success + ได้เลข PR-YYMM-NNNNN + สถานะ draft + ปิด drawer
TC-002,สร้าง PR โดยไม่เลือกสาขา ถูก block,High,1,คลิก 'สร้างคำร้องขอซื้อใหม่',เปิดฟอร์ม
TC-002,สร้าง PR โดยไม่เลือกสาขา ถูก block,High,2,กรอกทุก field ยกเว้นสาขาปลายทาง (ข้อมูล: DATA-002 (ไม่มี branch)),field สาขายังว่าง
TC-002,สร้าง PR โดยไม่เลือกสาขา ถูก block,High,3,คลิก 'ส่งอนุมัติ',ระบบ block + ข้อความ 'กรุณาเลือกสาขาปลายทาง'
TC-003,Config บังคับใบปลดอายัด แต่ไม่ใส่ ถูก block,High,1,เปิดฟอร์มสร้าง PR,แสดง section 'อ้างอิงงบปลดอายัด' (บังคับ)
TC-003,Config บังคับใบปลดอายัด แต่ไม่ใส่ ถูก block,High,2,กรอกทุก field ยกเว้นเลขปลดอายัด (ข้อมูล: DATA-003),ช่องใบปลดอายัดยังว่าง
TC-003,Config บังคับใบปลดอายัด แต่ไม่ใส่ ถูก block,High,3,คลิก 'ส่งอนุมัติ',ระบบ block + ข้อความ 'กรุณาเลือกเลขปลดอายัด'
TC-004,เปลี่ยนหน่วยสินค้าแล้วราคาอัปเดต,Medium,1,เพิ่มสินค้าที่มีหลายหน่วยลงรายการ (ข้อมูล: DATA-006: item=SUG-001),autofill ราคาหน่วย default
TC-004,เปลี่ยนหน่วยสินค้าแล้วราคาอัปเดต,Medium,2,เปลี่ยน dropdown หน่วยเป็นหน่วยอื่น (ข้อมูล: DATA-006: unit=กระสอบ),unit_price เปลี่ยนเป็นราคาของหน่วยนั้น
TC-004,เปลี่ยนหน่วยสินค้าแล้วราคาอัปเดต,Medium,3,ตรวจจำนวนเงินบรรทัด,line_amount = qty × unit_price ใหม่
TC-005,ส่งอนุมัติเกินงบ ถูก block,High,1,สร้าง PR ผูกใบปลดอายัดที่งบใกล้เต็ม (ข้อมูล: DATA-004: release ใกล้เต็ม),แสดงงบคงเหลือ
TC-005,ส่งอนุมัติเกินงบ ถูก block,High,2,เพิ่มรายการให้ยอดรวม > งบคงเหลือ (ข้อมูล: DATA-004: grand_total > remaining),แถบเตือน over-budget สีแดง
TC-005,ส่งอนุมัติเกินงบ ถูก block,High,3,คลิก 'ส่งอนุมัติ',ระบบ block + ข้อความ 'ยอดรวม PR เกินงบคงเหลือ' (BR_OVER_BUDGET)
TC-006,ส่งอนุมัติสำเร็จ + สร้างสาย DOA,High,1,เปิด PR draft ที่ valid (ข้อมูล: DATA-001),แสดงรายละเอียด PR
TC-006,ส่งอนุมัติสำเร็จ + สร้างสาย DOA,High,2,คลิก 'ส่งอนุมัติ',สถานะ draft→pending
TC-006,ส่งอนุมัติสำเร็จ + สร้างสาย DOA,High,3,เปิด tab ลายเซ็น/สายอนุมัติ,แสดง signature cards ตามจำนวนชั้นจาก DOA chain + ผู้อนุมัติชั้นแรกได้แจ้งเตือน
TC-007,SoD: ผู้อนุมัติ = ผู้ขอ ถูก block,High,1,สร้าง PR โดยผู้ขอที่เป็นผู้อนุมัติของ cost center นั้นด้วย (ข้อมูล: DATA-007),draft บันทึก
TC-007,SoD: ผู้อนุมัติ = ผู้ขอ ถูก block,High,2,คลิก 'ส่งอนุมัติ',ระบบ block + ข้อความ SoD (BR_SOD_VIOLATION)
TC-008,อนุมัติชั้นสุดท้าย → approved + committed,High,1,เปิด PR สถานะ pending (ข้อมูล: DATA-007),แสดงรายละเอียด + tab ลายเซ็น
TC-008,อนุมัติชั้นสุดท้าย → approved + committed,High,2,คลิกปุ่ม 'อนุมัติ',advance ชั้น · เมื่อครบสาย → สถานะ approved + approved_at/by ถูกบันทึก
TC-008,อนุมัติชั้นสุดท้าย → approved + committed,High,3,ตรวจฝั่งงบประมาณ,งบของใบปลดอายัดถูกตัดเป็น committed (3-stage) + ผู้ขอ/Buyer ได้แจ้งเตือน
TC-009,อนุมัติผิดชั้น ถูกปฏิเสธ,Medium,1,เปิด PR pending ด้วย user ที่ไม่ใช่ current approver (ข้อมูล: DATA-007),ดูได้แต่ไม่ใช่ชั้นปัจจุบัน
TC-009,อนุมัติผิดชั้น ถูกปฏิเสธ,Medium,2,คลิก 'อนุมัติ',ระบบปฏิเสธ ERR_NOT_CURRENT_APPROVER
TC-010,ตีกลับโดยไม่ใส่เหตุผล ถูก block,Medium,1,เปิด PR pending (ข้อมูล: DATA-007),แสดงปุ่มอนุมัติ/ตีกลับ
TC-010,ตีกลับโดยไม่ใส่เหตุผล ถูก block,Medium,2,คลิก 'ตีกลับ' โดยเว้นช่องเหตุผล (ข้อมูล: reason=ว่าง),ระบบ block + ข้อความ 'กรุณาระบุเหตุผล' (BR_REJECT_REASON_REQUIRED)
TC-011,เลือก PO ตรงแล้วล็อก PR,Medium,1,เปิด PR approved (ข้อมูล: DATA-001),แสดงตัวเลือกเส้นทาง
TC-011,เลือก PO ตรงแล้วล็อก PR,Medium,2,เลือกเส้นทาง 'ออก PO ตรง' (ข้อมูล: route=po_direct),บันทึก route + แสดง badge 'ออก PO ตรง (CP อ้างไม่ได้)'
TC-011,เลือก PO ตรงแล้วล็อก PR,Medium,3,พยายามเปลี่ยนเส้นทางอีกครั้ง (ข้อมูล: route=cp),ระบบ block (BR_ROUTE_LOCKED)
TC-013,กดส่งอนุมัติซ้ำ (idempotency),Medium,1,เปิด PR draft แล้วกด 'ส่งอนุมัติ' ซ้ำเร็ว ๆ,สถานะเปลี่ยน pending ครั้งเดียว
TC-013,กดส่งอนุมัติซ้ำ (idempotency),Medium,2,ตรวจรายการ + สายอนุมัติ,ไม่มี PR/สายอนุมัติซ้ำ
TC-014,คำนวณ VAT แบบรวมใน (included),Medium,1,"เพิ่มบรรทัดสินค้าแบบ VAT included (ข้อมูล: DATA-005: line_net=1070, vat=7%)",ตั้งค่า vat_mode=included
TC-014,คำนวณ VAT แบบรวมใน (included),Medium,2,ตรวจ VAT ที่ถอดกลับ,VAT = 1070 − 1070/1.07 ≈ 70.00 (ปัด HALF_UP)
TC-014,คำนวณ VAT แบบรวมใน (included),Medium,3,ตรวจยอดรวมเอกสาร,grand_total สอดคล้องกับสูตร ENG-DOC-AMT
TC-015,ยกเลิก PR หลังอนุมัติ → คืนงบ,Medium,1,เปิด PR approved (ข้อมูล: DATA-007),แสดงปุ่มยกเลิก
TC-015,ยกเลิก PR หลังอนุมัติ → คืนงบ,Medium,2,คลิก 'ยกเลิก' + ใส่เหตุผล (ข้อมูล: reason='ยกเลิกโครงการ'),สถานะ → cancelled
TC-015,ยกเลิก PR หลังอนุมัติ → คืนงบ,Medium,3,ตรวจฝั่งงบประมาณ,งบ committed ถูก reverse คืนเข้าใบปลดอายัด
TC-016,ดู/ดาวน์โหลด PDF ใบขอซื้อ,Medium,1,เปิด PR แล้วไป tab 'PDF Preview',แสดงเอกสาร A4 ใน iframe
TC-016,ดู/ดาวน์โหลด PDF ใบขอซื้อ,Medium,2,ตรวจหัวเอกสาร + สาขาปลายทาง (ข้อมูล: DATA-001: branch=00000),โลโก้/ข้อมูลองค์กร + บล็อก Ship-to Branch (00000 + ที่อยู่) ถูกต้อง
TC-016,ดู/ดาวน์โหลด PDF ใบขอซื้อ,Medium,3,ตรวจช่องลายเซ็น,จำนวนช่องลายเซ็น = จำนวนชั้นจาก approval_chain
TC-016,ดู/ดาวน์โหลด PDF ใบขอซื้อ,Medium,4,คลิก 'ดาวน์โหลด',ได้ไฟล์ PDF + บันทึก audit (export Restricted)
