case_id,case_name,priority,step_order,step_description,expected_result
TC-001,List vendors with status+type filter,High,1,เปิดหน้า Vendor List (Pattern A),เห็นตาราง vendors พร้อม filter bar + count badge
TC-001,List vendors with status+type filter,High,2,เลือก dropdown 'ประเภท' = MN | input: type=MN,"filter applied, ตารางแสดงเฉพาะ vendor type=MN"
TC-001,List vendors with status+type filter,High,3,เลือก dropdown 'สถานะ' = ใช้งาน (active) | input: status=active,filter cumulative — ตารางแสดงเฉพาะ MN + active
TC-001,List vendors with status+type filter,High,4,ตรวจ field 'เลขภาษี' (Officer role),tax_id แสดง masked format '0105••••••67'
TC-001,List vendors with status+type filter,High,5,กด 'รีเซ็ต',filters ถูกล้าง ตารางแสดงทั้งหมด
TC-002,Create MN vendor — full happy path,High,1,กดปุ่ม '+ เพิ่มคู่ค้า' ที่หัวหน้า list,"Drawer Pattern B 540px slide-in, Step 1"
TC-002,Create MN vendor — full happy path,High,2,"เลือก ประเภท=MN และ ประเทศ=TH | input: type=MN, country=TH",code preview แสดง 'V-TH-MN-NNNNN' (next running)
TC-002,Create MN vendor — full happy path,High,3,"กรอกชื่อ + เลขภาษี + currency จาก DATA-001 | input: name='บริษัท เคมีภัณฑ์ไทย', tax='0105551234567'",all valid; ไม่มี error
TC-002,Create MN vendor — full happy path,High,4,กดปุ่ม 'ถัดไป' → Step 2,drawer step→2 'ติดต่อ & ธนาคาร'
TC-002,Create MN vendor — full happy path,High,5,เพิ่ม contact (name+email+phone) + address + bank | input: DATA-001 contact/address/bank,cards added ใน drawer
TC-002,Create MN vendor — full happy path,High,6,กดปุ่ม 'ถัดไป' → Step 3,drawer step→3 'เอกสารแนบ & ชำระ'
TC-002,Create MN vendor — full happy path,High,7,"เลือก term=NET30, ใส่ creditLimit=1000000, แนบเอกสาร | input: term=NET30, credit=1M",values บันทึก
TC-002,Create MN vendor — full happy path,High,8,กดปุ่ม 'บันทึก',POST /vendors → 201; toast 'บันทึกสำเร็จ'; drawer ปิด; vendor ใหม่ปรากฏใน list status='ผู้สนใจ'
TC-003,Create OT vendor without tax_id,Medium,1,เปิด create drawer,Step 1 แสดง
TC-003,Create OT vendor without tax_id,Medium,2,เลือก type=OT | input: type=OT,ช่องเลขภาษีไม่มีดอกจัน * (optional)
TC-003,Create OT vendor without tax_id,Medium,3,"เว้นเลขภาษีว่าง + กรอก name, country=TH | input: DATA-002",ไม่มี error
TC-003,Create OT vendor without tax_id,Medium,4,ถัดไป → Step 2 → กรอก contact (≥1) → Step 3 → เลือก term,all valid
TC-003,Create OT vendor without tax_id,Medium,5,กดบันทึก,201 success; list แสดง field 'เลขภาษี' = 'ยกเว้น'
TC-004,Submit vendor prospect → pending_kyc,High,1,เปิด list → คลิก row ที่ status=ผู้สนใจ,View drawer (Pattern C) เปิด
TC-004,Submit vendor prospect → pending_kyc,High,2,ในแถบ action bar — สังเกตปุ่ม 'ส่ง KYC',ปุ่มแสดง (canSubmit=true)
TC-004,Submit vendor prospect → pending_kyc,High,3,กดปุ่ม 'ส่ง KYC',POST /submit-kyc → 200; toast 'ส่งเข้า KYC แล้ว'; drawer refresh
TC-004,Submit vendor prospect → pending_kyc,High,4,ตรวจ status pill ใน drawer header,เปลี่ยนเป็น 'รอ KYC' (pill dot=amber)
TC-005,"KYC review — passed, tax locked",High,1,เปลี่ยน role เป็น Compliance (top-right user chip → role switch),UI re-render with Compliance permissions
TC-005,"KYC review — passed, tax locked",High,2,เปิด list → คลิก vendor pending_kyc → drawer,drawer แสดง; action bar มีปุ่ม 'ตรวจ KYC'
TC-005,"KYC review — passed, tax locked",High,3,กดปุ่ม 'ตรวจ KYC',"M-01 modal เปิด, แสดง checklist: เอกสารแนบ, รูปแบบเลขภาษี, sanctions"
TC-005,"KYC review — passed, tax locked",High,4,"Tick checkboxes (ไม่ tick sanctions hit) → กด 'ผ่าน' | input: result=passed, sanctions_hit=false","POST /kyc-review → 200; kyc=passed, kycAt now"
TC-005,"KYC review — passed, tax locked",High,5,กลับมา drawer overview tab,เห็น icon 🔒 ข้างช่องเลขภาษี (IR-01 locked)
TC-005,"KYC review — passed, tax locked",High,6,Switch role กลับเป็น Officer → กด 'แก้ไข',edit drawer เปิด
TC-005,"KYC review — passed, tax locked",High,7,พยายามแก้ tax_id,"input disabled, label 'ล็อก — ผ่าน KYC แล้ว แก้ไขไม่ได้ (IR-01)'"
TC-006,Submit pending_kyc → pending_approval (2-step chain for high credit),High,1,Officer เปิด drawer ของ vendor ที่พร้อม,action bar มีปุ่ม 'ส่งอนุมัติ'
TC-006,Submit pending_kyc → pending_approval (2-step chain for high credit),High,2,กด 'ส่งอนุมัติ',POST /submit-approval → 200; toast 'ส่งอนุมัติแล้ว — รอ ผจก.จัดซื้อ'
