case_id,case_name,priority,step_order,step_description,expected_result
TC-001,เพิ่มราคาคู่ค้าเดี่ยวสำเร็จ,High,1,"เปิดหน้าคู่ค้า (active) แล้วกดปุ่ม ""เพิ่มสินค้า""","drawer wizard เปิด, คู่ค้าถูกล็อกเป็นคู่ค้านั้น, อยู่ step 1"
TC-001,เพิ่มราคาคู่ค้าเดี่ยวสำเร็จ,High,2,เลือกสินค้าจาก search dropdown (ข้อมูล: product_name=เหล็กแผ่น SS400 3mm),"ช่องสินค้าแสดงสินค้าที่เลือก, หน่วยซื้อ auto = KG, สกุลเงิน auto = THB"
TC-001,เพิ่มราคาคู่ค้าเดี่ยวสำเร็จ,High,3,"กรอกรหัสสินค้าฝั่ง vendor แล้วกด ""ถัดไป"" (ข้อมูล: vendor_item_code=STL-SS400-3)","ผ่าน validation UNIQUE, ไปยัง step 2"
TC-001,เพิ่มราคาคู่ค้าเดี่ยวสำเร็จ,High,4,"เลือกประเภทราคา flat, กรอกราคา (ข้อมูล: price=25.00, valid_from=2026-06-01)",แสดง preview ราคาสุทธิ/หน่วย
TC-001,เพิ่มราคาคู่ค้าเดี่ยวสำเร็จ,High,5,"กดปุ่ม ""สร้างรายการ""","Toast success, ปิด drawer, รายการใหม่ปรากฏ status=active"
TC-002,เพิ่มหลายรายการผ่าน Batch,High,1,เลือกคู่ค้าระดับหน้า (lock) (ข้อมูล: vendor=บริษัท สตีลโปร),คอลัมน์คู่ค้าในตารางถูกซ่อน (โหมดตามคู่ค้า)
TC-002,เพิ่มหลายรายการผ่าน Batch,High,2,"กรอกแถวที่ 1: เลือกสินค้า + ราคา (ข้อมูล: product=กล่องกระดาษลูกฟูก, price=12.00)",แถวไม่ขึ้นแดง
TC-002,เพิ่มหลายรายการผ่าน Batch,High,3,เว้นแถวที่ 2 ว่าง,แถวว่างจะถูกข้ามตอนบันทึก
TC-002,เพิ่มหลายรายการผ่าน Batch,High,4,"กดปุ่ม ""บันทึกทั้งหมด""","Toast success, สร้าง 1 รายการ, แถวว่างถูกข้าม"
TC-003,นำเข้า CSV สำเร็จ,Medium,1,"กดปุ่ม ""Template CSV""",ดาวน์โหลดไฟล์ template (header 14 คอลัมน์)
TC-003,นำเข้า CSV สำเร็จ,Medium,2,"กดปุ่ม ""อัปโหลด CSV"" แล้วเลือกไฟล์ (ข้อมูล: csv 2 แถวถูกต้อง)","ระบบ parse, โหมดกลับเป็นหลายคู่ค้า, แสดงแถวในตาราง"
TC-003,นำเข้า CSV สำเร็จ,Medium,3,"กดปุ่ม ""บันทึกทั้งหมด""",Toast: created=2
TC-004,ดูรายละเอียดราคา 3 แท็บ,Low,1,กดไอคอนดู (eye) ที่รายการ,"View drawer เปิด แท็บ ""ภาพรวม"""
TC-004,ดูรายละเอียดราคา 3 แท็บ,Low,2,"สลับไปแท็บ ""ราคา & Tier""",แสดงตาราง tier (ปริมาณ/ราคาตั้ง/สุทธิ/หน่วย/validity)
TC-004,ดูรายละเอียดราคา 3 แท็บ,Low,3,"สลับไปแท็บ ""ประวัติราคา""",แสดงประวัติ WORM (ถ้ามี) old/new/pct/by/reason
TC-005,แก้ไขรายการ,Medium,1,กดไอคอนแก้ไข (edit),Edit drawer เปิด: รหัส vendor/หน่วย/สกุลเงิน
TC-005,แก้ไขรายการ,Medium,2,แก้รหัส vendor แล้วบันทึก (ข้อมูล: vendor_item_code=STL-NEW-01),"Toast success, version เพิ่มขึ้น 1"
TC-006,เทียบราคาข้ามคู่ค้า,High,1,กดไอคอนเทียบราคา (compare) ที่สินค้า,Modal เทียบราคาเปิด
TC-006,เทียบราคาข้ามคู่ค้า,High,2,ระบุปริมาณ (ข้อมูล: qty=100),ตารางคู่ค้าเรียงราคาสุทธิ/หน่วย (THB) จากน้อยไปมาก
TC-006,เทียบราคาข้ามคู่ค้า,High,3,ตรวจผลลัพธ์,"คู่ค้า blocked/blacklisted ไม่ปรากฏ, ตัวแรกติดป้าย ""ถูกสุด"""
TC-008,เปลี่ยนราคา ≤ threshold (auto),High,1,"กดปุ่ม ""เปลี่ยนราคา"" ที่รายการ",Modal เปลี่ยนราคาเปิด
TC-008,เปลี่ยนราคา ≤ threshold (auto),High,2,"กรอกราคาใหม่ + เหตุผล (ข้อมูล: new_price=+3%, reason=ปรับตามตลาด)",preview %เปลี่ยน = +3%
