case_id,case_name,priority,step_order,step_description,expected_result
TC-001,แสดงรายการ + กรองสถานะ approved,High,1,"เปิดเมนู ""เปรียบเทียบราคา (CP)""",แสดงหน้า List พร้อมตาราง CP + filter bar
TC-001,แสดงรายการ + กรองสถานะ approved,High,2,"เลือก dropdown สถานะ = ""approved"" [approved]",ตารางแสดงเฉพาะ CP สถานะ approved
TC-001,แสดงรายการ + กรองสถานะ approved,High,3,พิมพ์เลขที่ CP ในช่องค้นหา [CP-2569-00003],แสดงเฉพาะแถวที่ตรงคำค้น
TC-001,แสดงรายการ + กรองสถานะ approved,High,4,"คลิกหัวคอลัมน์ ""มูลค่าผู้ชนะ""",เรียงลำดับตามมูลค่า (asc/desc สลับได้)
TC-002,ราคาถูก mask เมื่อ role ไม่ผ่าน,High,1,เปิด CP ใด ๆ จาก List,เปิด View drawer
TC-002,ราคาถูก mask เมื่อ role ไม่ผ่าน,High,2,ดูคอลัมน์ราคา/หน่วย + มูลค่าผู้ชนะ,แสดงเป็น *** (mask)
TC-002,ราคาถูก mask เมื่อ role ไม่ผ่าน,High,3,"กด ""ส่งออก CSV""",ไฟล์ export ไม่มีคอลัมน์ราคา
TC-003,สร้าง CP ครบ 4 ขั้น (happy),High,1,"กดปุ่ม ""สร้าง""",เปิด wizard ขั้นที่ 1 (ข้อมูลทั่วไป)
TC-003,สร้าง CP ครบ 4 ขั้น (happy),High,2,"เลือกวันที่ + ผู้จัดทำ (combobox) + เลือก PR [27/05/2569, Tadswan, PR-2569-00012]",ดึงรายการสินค้าจาก PR เข้าตาราง
TC-003,สร้าง CP ครบ 4 ขั้น (happy),High,3,"กด ""ถัดไป"" ไปขั้นเลือกผู้ขาย",ไปขั้นที่ 2
TC-003,สร้าง CP ครบ 4 ขั้น (happy),High,4,"เลือกผู้ขาย 3 ราย [สยามออฟฟิศ, ที.เค., รุ่งเรือง]",การ์ดผู้ขายถูกเลือก + เติมราคา preset
TC-003,สร้าง CP ครบ 4 ขั้น (happy),High,5,"กด ""ถัดไป"" ไปขั้นเทียบราคา",แสดงตาราง matrix ราคาต่อผู้ขาย
TC-003,สร้าง CP ครบ 4 ขั้น (happy),High,6,"กด ""เลือกอัตโนมัติ"" แล้ว ""ถัดไป""",เลือกผู้ชนะครบ → ไปขั้นสรุป
TC-003,สร้าง CP ครบ 4 ขั้น (happy),High,7,"กดปุ่ม ""สร้าง""","บันทึกสำเร็จ, สถานะ draft, gen เลขที่ CP, Toast success"
TC-004,บล็อกการสร้างเมื่อไม่อ้าง PR,High,1,เว้นการเลือก PR [(ไม่เลือก)],ปุ่มถัดไป disabled หรือมี hint
TC-004,บล็อกการสร้างเมื่อไม่อ้าง PR,High,2,"กด ""ถัดไป""","ข้อความเตือน BR_CP_PR_REQUIRED, ไม่ไปขั้นถัดไป"
TC-005,เติมราคา preset เฉพาะช่องว่าง,Medium,1,แก้ราคาเซลล์ของผู้ขาย A รายการที่ 1 [130.00],ค่าในเซลล์เปลี่ยนเป็น 130.00
TC-005,เติมราคา preset เฉพาะช่องว่าง,Medium,2,ลบราคาบางเซลล์ให้ว่าง [(ว่าง)],เซลล์ว่าง
TC-005,เติมราคา preset เฉพาะช่องว่าง,Medium,3,"กดปุ่ม ""เติมราคา price list""",เซลล์ว่างถูกเติมจาก price list; เซลล์ 130.00 ไม่ถูกทับ
TC-006,เลือกผู้ชนะอัตโนมัติ = ต่ำสุด,High,1,"กดปุ่ม ""เลือกอัตโนมัติ (ราคาต่ำสุด)""",ทุก line มีผู้ชนะ = ราคาต่ำสุด
TC-006,เลือกผู้ชนะอัตโนมัติ = ต่ำสุด,High,2,"ตรวจป้าย ""ต่ำสุด"" ในแต่ละ line",ป้ายอยู่ที่เซลล์ราคาต่ำสุด
TC-006,เลือกผู้ชนะอัตโนมัติ = ต่ำสุด,High,3,ตรวจ pill นับผู้ชนะ,"แสดง ""เลือกผู้ชนะแล้ว N/N"" ครบ"
TC-007,แยก PO ตามผู้ขายที่ชนะ,High,1,"กด ""ถัดไป"" ไปขั้นสรุป + แยก PO",แสดงการ์ด PO ต่อผู้ขาย
TC-007,แยก PO ตามผู้ขายที่ชนะ,High,2,ตรวจการ์ดผู้ขายสยามออฟฟิศ,"2 รายการ, ยอดรวม 9,050.00"
TC-007,แยก PO ตามผู้ขายที่ชนะ,High,3,ตรวจการ์ดผู้ขายที.เค.,"1 รายการ, ยอดรวม 4,650.00"
TC-007,แยก PO ตามผู้ขายที่ชนะ,High,4,ตรวจสรุปจำนวน PO,จำนวน PO ที่ต้องแยก = 2
TC-008,ส่งเซ็นสำเร็จ,High,1,"เปิด CP → แท็บ ""ลายเซ็น""",แสดงการ์ดผู้ลงนาม 3 ช่อง
TC-008,ส่งเซ็นสำเร็จ,High,2,"กดปุ่ม ""ส่งเซ็น (สายอนุมัติ DOA)""","สถานะ → pending, Toast success"
TC-008,ส่งเซ็นสำเร็จ,High,3,ตรวจการ์ดผู้ตรวจสอบ/ผู้อนุมัติ,"แสดงผู้ลงนามตาม DOA + สถานะ ""รอลงนาม"""
TC-009,บล็อกส่งเซ็นเมื่อผู้ชนะไม่ครบ,High,1,เปิด CP → แท็บลายเซ็น,แสดงการ์ดผู้ลงนาม
TC-009,บล็อกส่งเซ็นเมื่อผู้ชนะไม่ครบ,High,2,"กด ""ส่งเซ็น""","ข้อความเตือน BR_CP_WINNER_INCOMPLETE, สถานะคง draft"
TC-010,บล็อกส่งเซ็นเมื่อผู้ขาย < 2,Medium,1,เปิด CP → แท็บลายเซ็น,แสดงการ์ด
TC-010,บล็อกส่งเซ็นเมื่อผู้ขาย < 2,Medium,2,"กด ""ส่งเซ็น""",ข้อความเตือน BR_CP_MIN_VENDORS
TC-011,อนุมัติ CP สำเร็จ,High,1,เปิด CP pending → แท็บลายเซ็น,แสดงปุ่ม อนุมัติ/ตีกลับ ที่ footer
TC-011,อนุมัติ CP สำเร็จ,High,2,"กดปุ่ม ""อนุมัติ""","สถานะ → approved, การ์ดผู้อนุมัติเป็น ""ลงนามแล้ว"""
TC-013,ตีกลับพร้อมเหตุผล,High,1,"เปิด CP pending → กด ""ตีกลับ""",แสดงช่องกรอกเหตุผล
TC-013,ตีกลับพร้อมเหตุผล,High,2,กรอกเหตุผล + ยืนยัน [ราคาผู้ชนะสูงกว่างบ ขอเจรจาใหม่],"สถานะ → draft, บันทึกเหตุผล"
TC-014,บล็อกตีกลับเมื่อไม่กรอกเหตุผล,Medium,1,"กด ""ตีกลับ"" แล้วเว้นเหตุผล [(ว่าง)]",ข้อความเตือน ERR_REASON_REQUIRED
TC-014,บล็อกตีกลับเมื่อไม่กรอกเหตุผล,Medium,2,ยืนยันโดยไม่กรอก,ไม่เปลี่ยนสถานะ
TC-015,ออกใบสั่งซื้อ + รับ po_id,High,1,"เปิด CP approved → แท็บ ""แยก PO""",แสดง 2 การ์ด PO (ยังไม่สร้าง)
TC-015,ออกใบสั่งซื้อ + รับ po_id,High,2,"กดปุ่ม ""ออกใบสั่งซื้อ (2 ใบ)""",สถานะ → awarded
TC-015,ออกใบสั่งซื้อ + รับ po_id,High,3,ตรวจแท็บแยก PO อีกครั้ง,"แต่ละการ์ดมี po_id (teal) + ""สร้าง PO แล้ว 2/2"""
TC-016,ออกใบสั่งซื้อซ้ำ (idempotent),Medium,1,"refresh แล้วกด ""ออกใบสั่งซื้อ"" อีกครั้ง (ถ้าปุ่มยังอยู่)",คืน po_id เดิม ไม่สร้างซ้ำ
TC-016,ออกใบสั่งซื้อซ้ำ (idempotent),Medium,2,ตรวจจำนวน PO,ยังเป็น 2 ใบเท่าเดิม
TC-017,เปิด/ดาวน์โหลดเอกสาร PDF,Medium,1,"เปิด CP → แท็บ ""PDF Preview""",แสดง PDF A4 ในกรอบ preview
TC-017,เปิด/ดาวน์โหลดเอกสาร PDF,Medium,2,ตรวจเนื้อหาเอกสาร,มีตารางเทียบ + ผู้ชนะ (ตัวหนา/tag) + ยอดก่อน VAT + VAT 7% + รวมทั้งสิ้น + จำนวนเงินตัวอักษร + ลายเซ็น 3 ช่อง
TC-017,เปิด/ดาวน์โหลดเอกสาร PDF,Medium,3,"กดปุ่ม ""ดาวน์โหลด""",ดาวน์โหลดไฟล์ชื่อ {cp_no}.pdf
TC-018,บล็อกแก้ไข CP ที่ไม่ใช่ draft,Medium,1,เปิด CP ที่ไม่ใช่ draft,ไม่มีปุ่มแก้ไขรายการ/ราคา หรือ field อ่านอย่างเดียว
TC-018,บล็อกแก้ไข CP ที่ไม่ใช่ draft,Medium,2,(ถ้าเรียก API แก้) ส่ง PUT,422 BR_CP_NOT_EDITABLE
TC-019,บล็อกอ้าง PR ที่ถูกใช้แล้ว,Medium,1,สร้าง CP ใหม่ แล้วเลือก PR ที่ถูกใช้แล้ว [PR-2569-00007],PR ไม่อยู่ในรายการเลือก หรือเลือกไม่ได้
TC-019,บล็อกอ้าง PR ที่ถูกใช้แล้ว,Medium,2,"(ถ้าฝืนบันทึก) กด ""สร้าง""",422 BR_CP_PR_ALREADY_USED
