case_id,case_name,priority,step_order,step_description,expected_result
TC-001,สร้างพนักงานใหม่สำเร็จ,High,1,กดปุ่ม '+ เพิ่มพนักงานใหม่' ที่หน้า Employee List,เข้าหน้าสร้าง (full-page) แท็บ personal
TC-001,สร้างพนักงานใหม่สำเร็จ,High,2,กรอกชื่อ-สกุล (ไทย) จาก DATA-001 (ข้อมูล: ชื่อ: สมชาย ใจดี),ค่าในช่องถูกต้อง
TC-001,สร้างพนักงานใหม่สำเร็จ,High,3,ไปแท็บ employ แล้วเลือกตำแหน่ง/สาขา/วันเริ่มงาน/ประเภทการจ้าง (ข้อมูล: DATA-001),division/dept เสนออัตโนมัติจากตำแหน่ง
TC-001,สร้างพนักงานใหม่สำเร็จ,High,4,กดปุ่ม 'บันทึกข้อมูลพนักงาน',Toast success + ออกรหัส EMP-NNNN + ไปหน้าโปรไฟล์ status=onboarding
TC-002,สร้างพนักงานข้อมูลบังคับไม่ครบ,High,1,เข้าหน้าสร้าง,แสดงฟอร์ม
TC-002,สร้างพนักงานข้อมูลบังคับไม่ครบ,High,2,เว้นช่องนามสกุลและไม่เลือกตำแหน่ง (ข้อมูล: DATA-005),-
TC-002,สร้างพนักงานข้อมูลบังคับไม่ครบ,High,3,กดบันทึก,ไม่บันทึก + แสดง ERR_VALIDATION ระบุ field ที่ขาด + คงข้อมูลที่กรอก
TC-003,เลขบัตรผิด checksum,Medium,1,เข้าหน้าสร้าง แท็บ personal,แสดงฟอร์ม
TC-003,เลขบัตรผิด checksum,Medium,2,กรอกเลขบัตรที่ checksum ผิด (ข้อมูล: 1101701505175),-
TC-003,เลขบัตรผิด checksum,Medium,3,กดบันทึก,แสดง ERR_INVALID_NATIONAL_ID
TC-004,เลขบัตรซ้ำ,High,1,เข้าหน้าสร้าง,แสดงฟอร์ม
TC-004,เลขบัตรซ้ำ,High,2,กรอกเลขบัตรที่มีพนักงานใช้แล้ว (ข้อมูล: 1101701505174),-
TC-004,เลขบัตรซ้ำ,High,3,กดบันทึก,แสดง ERR_DUPLICATE_NATIONAL_ID
TC-005,ที่อยู่ cascade + zip auto-lock,Medium,1,ไปแท็บ address,แสดงช่องที่อยู่ปัจจุบัน
TC-005,ที่อยู่ cascade + zip auto-lock,Medium,2,เลือกจังหวัด (ข้อมูล: ขอนแก่น),dropdown อำเภอ enable
TC-005,ที่อยู่ cascade + zip auto-lock,Medium,3,เลือกอำเภอ (ข้อมูล: เมืองขอนแก่น),dropdown ตำบล enable
TC-005,ที่อยู่ cascade + zip auto-lock,Medium,4,เลือกตำบล (ข้อมูล: ในเมือง),zip เติมเป็น 40000 อัตโนมัติ + ช่อง zip disabled
TC-006,เปิดอำเภอก่อนเลือกจังหวัด,Low,1,ไปแท็บ address (ยังไม่เลือกจังหวัด),แสดงช่องที่อยู่
TC-006,เปิดอำเภอก่อนเลือกจังหวัด,Low,2,คลิก dropdown อำเภอ,อำเภอ disabled — เลือกไม่ได้
TC-007,ดูโปรไฟล์แบบแท็บ,Medium,1,เปิดโปรไฟล์พนักงานจาก list,แสดง hero + quick-facts (6) + 7 แท็บ
